"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Identity & Access","Successful registration with random data","New Account Creation","0","0","5","0","0"
"Identity & Access","Login","Negative Login","0","0","2","0","0"
"Social Engine","Navigation","Sidebar Links","0","0","1","0","0"
"Social Engine","Messages","Send message","0","0","1","0","0"
"Identity & Access","Login","Positive Login","0","0","1","0","0"
"Social Engine","Wall Posts","Creating Posts","0","0","1","0","0"
